config,defense,clip_norm,noise_std,round,accuracy,loss,train_loss,learning_rate,update_norm,clipping_scale,noise_std_recorded
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,44,0.2232,2.1077,2.12392025393506,0.0066443729597145135,0.004842471730449633,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,45,0.2235,2.1058,2.1225163152059427,0.006146245692259956,0.0044767766800875835,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,46,0.2245,2.104,2.1197479486382003,0.005735865581621837,0.0041662771709402475,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,47,0.2253,2.1019,2.117687823945412,0.005414918967701028,0.003929630774663092,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,48,0.2272,2.0999,2.115423884807369,0.005184724688976964,0.0037375405188858984,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,49,0.2283,2.0981,2.113563322390286,0.005046228663117433,0.003657186055020449,0.9999999999999998,0.0
fedsgd_defutil_r50_clip_c001,clipping,0.01,0.0,50,0.2283,2.0964,2.1144894669965435,0.005,0.003599216104397313,0.9999999999999998,0.0
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,0,0.1,2.9329,,,,,
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,1,0.1014,2.3243,2.376134641778857,0.05,0.11001250353633471,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,2,0.1247,2.2803,2.314740617630857,0.049953771336882564,0.07886975780211393,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,3,0.155,2.2562,2.272119834200252,0.04981527531102303,0.062457428222657284,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,4,0.1612,2.231,2.255192205115398,0.04958508103229897,0.05767910326475027,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,5,0.1787,2.2189,2.232967786618701,0.049264134418378173,0.05542246426194288,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,6,0.1815,2.1948,2.2204802216658073,0.04885375430774004,0.05521052885986687,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,7,0.1848,2.1867,2.202213241860976,0.04835562704028548,0.05581605010225649,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,8,0.1969,2.1639,2.189204513993858,0.04777179952780443,0.05719664289828727,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,9,0.1921,2.1569,2.171916550138878,0.04710467084277627,0.058502555271722656,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,10,0.2121,2.1329,2.1613332950220663,0.04635698236006642,0.059274776261783235,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,11,0.2009,2.1252,2.144097529945925,0.04553180649202902,0.05829212613989815,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,12,0.2265,2.1029,2.130134927194663,0.04463253406330553,0.058253619357082204,0.9999999999999998,1e-05
fedsgd_defutil_r50_noise_s000001,noise,0.0,1e-05,13,0.2056,2.094,2.1153328590520863,0.04366286037719887,0.05560134390706306,0.9999999999999998,1e-05
